Data for use in defining LOW-range UV particle absorption (phytoplankton plus detritus)
in the "new Case 1 IOP model": ap(wave) = A(wave)*[chl]^E(wave)
References:
Bricaud et al., 1998, JGR 103(C13), 31033-31044 for 400-1000 nm
Vasilkov, et al., 2005, Applied Optics Vol 44, No. 14, pp2863-2869
Morrison and Nelson, 2004, L&O 49(1), 215-224.
See the discussion of the new Case 1 IOP model for details.
Lambda    A_h     A_m     A_l     E_l
300.0  0.1056  0.0736  0.0299  0.8524
302.0  0.1092  0.0747  0.0297  0.8515
304.0  0.1120  0.0755  0.0299  0.8507
306.0  0.1145  0.0761  0.0300  0.8498
308.0  0.1166  0.0766  0.0303  0.8483
310.0  0.1175  0.0767  0.0305  0.8453
312.0  0.1181  0.0768  0.0308  0.8423
314.0  0.1177  0.0766  0.0313  0.8378
316.0  0.1169  0.0763  0.0317  0.8318
318.0  0.1159  0.0760  0.0321  0.8258
320.0  0.1141  0.0755  0.0326  0.8198
322.0  0.1117  0.0748  0.0330  0.8138
324.0  0.1089  0.0738  0.0333  0.8078
326.0  0.1056  0.0726  0.0336  0.8018
328.0  0.1018  0.0712  0.0338  0.7973
330.0  0.0982  0.0697  0.0340  0.7943
332.0  0.0945  0.0683  0.0346  0.7898
334.0  0.0909  0.0667  0.0346  0.7867
336.0  0.0870  0.0650  0.0347  0.7852
338.0  0.0828  0.0629  0.0342  0.7822
340.0  0.0780  0.0606  0.0338  0.7792
342.0  0.0723  0.0578  0.0330  0.7762
344.0  0.0661  0.0547  0.0320  0.7747
346.0  0.0596  0.0514  0.0308  0.7732
348.0  0.0533  0.0481  0.0297  0.7717
350.0  0.0479  0.0453  0.0288  0.7702
352.0  0.0431  0.0427  0.0281  0.7687
354.0  0.0394  0.0406  0.0277  0.7672
356.0  0.0365  0.0390  0.0276  0.7657
358.0  0.0342  0.0378  0.0278  0.7627
360.0  0.0328  0.0371  0.0281  0.7597
362.0  0.0319  0.0367  0.0287  0.7567
364.0  0.0316  0.0367  0.0293  0.7537
366.0  0.0314  0.0368  0.0301  0.7462
368.0  0.0318  0.0372  0.0311  0.7462
370.0  0.0321  0.0373  0.0316  0.7417
372.0  0.0327  0.0378  0.0328  0.7387
374.0  0.0337  0.0385  0.0342  0.7357
376.0  0.0347  0.0391  0.0353  0.7327
378.0  0.0357  0.0397  0.0365  0.7297
380.0  0.0367  0.0402  0.0377  0.7267
382.0  0.0376  0.0407  0.0387  0.7237
384.0  0.0385  0.0412  0.0395  0.7207
386.0  0.0391  0.0414  0.0402  0.7177
388.0  0.0397  0.0417  0.0407  0.7162
390.0  0.0403  0.0420  0.0412  0.7132
392.0  0.0409  0.0421  0.0414  0.7117
394.0  0.0413  0.0422  0.0418  0.7102
396.0  0.0419  0.0425  0.0421  0.7087
398.0  0.0425  0.0428  0.0427  0.7057
400.0  0.0433  0.0433  0.0433  0.7026
