   lambda	    Aphi	    Ephi
   270.000000       2.40515005E-02  0.687735021    
   272.000000       2.40515005E-02  0.687735021    
   274.000000       2.40515005E-02  0.687735021    
   276.000000       2.40515005E-02  0.687735021    
   278.000000       2.40515005E-02  0.687735021    
   280.000000       2.40515005E-02  0.687735021    
   282.000000       2.40515005E-02  0.687735021    
   284.000000       2.40515005E-02  0.687735021    
   286.000000       2.40515005E-02  0.687735021    
   288.000000       2.40515005E-02  0.687735021    
   290.000000       2.40515005E-02  0.687735021    
   292.000000       2.40515005E-02  0.687735021    
   294.000000       2.40515005E-02  0.687735021    
   296.000000       2.40515005E-02  0.687735021    
   298.000000       2.40515005E-02  0.687735021    
   300.000000       2.40515005E-02  0.687735021    
   302.000000       2.40515005E-02  0.687735021    
   304.000000       2.40515005E-02  0.687735021    
   306.000000       2.40515005E-02  0.687735021    
   308.000000       2.40515005E-02  0.687735021    
   310.000000       2.40515005E-02  0.687735021    
   312.000000       2.40515005E-02  0.687735021    
   314.000000       2.40515005E-02  0.687735021    
   316.000000       2.40515005E-02  0.687735021    
   318.000000       2.40515005E-02  0.687735021    
   320.000000       2.40515005E-02  0.687735021    
   322.000000       2.40515005E-02  0.687735021    
   324.000000       2.40515005E-02  0.687735021    
   326.000000       2.40515005E-02  0.687735021    
   328.000000       2.40515005E-02  0.687735021    
   330.000000       2.40515005E-02  0.687735021    
   332.000000       2.40515005E-02  0.687735021    
   334.000000       2.40515005E-02  0.687735021    
   336.000000       2.40515005E-02  0.687735021    
   338.000000       2.40515005E-02  0.687735021    
   340.000000       2.40515005E-02  0.687735021    
   342.000000       2.40515005E-02  0.687735021    
   344.000000       2.40515005E-02  0.687735021    
   346.000000       2.40515005E-02  0.687735021    
   348.000000       2.40515005E-02  0.687735021    
   350.000000       2.40515005E-02  0.687735021    
   352.000000       2.40515005E-02  0.687735021    
   354.000000       2.40515005E-02  0.687735021    
   356.000000       2.40515005E-02  0.687735021    
   358.000000       2.40515005E-02  0.687735021    
   360.000000       2.40515005E-02  0.687735021    
   362.000000       2.40515005E-02  0.687735021    
   364.000000       2.40515005E-02  0.687735021    
   366.000000       2.40515005E-02  0.687735021    
   368.000000       2.40515005E-02  0.687735021    
   370.000000       2.40515005E-02  0.687735021    
   372.000000       2.40515005E-02  0.687735021    
   374.000000       2.40515005E-02  0.687735021    
   376.000000       2.40515005E-02  0.687735021    
   378.000000       2.40515005E-02  0.687735021    
   380.000000       2.40515005E-02  0.687735021    
   382.000000       2.40515005E-02  0.687735021    
   384.000000       2.40515005E-02  0.687735021    
