GEISA09 Lines : Database Extract Results

Extraction in progress...

nbr records in this bin file :   3807997
 *****************                                                                                                  *****************
 * geisa   geisa *                                extraction of geisa2009  contents                                 * geisa   geisa *
 *      ext      *                                                                                                  *      ext      *
 * geisa   geisa *                spectral  interval (cm-1)  nu1= 2400.000000   nu2= 35000.000000                   * geisa   geisa *
 *****************                                                                                                  *****************
                                          extraction of the following molecules and isotopes

  1 Molecule(s) affect(s) :  n2

  1 Isotope(s)  affect(s) :   44

                                        (A)  wavenumber (cm-1)
                                        (B)  intensity (cm-1/molec.cm-2 at 296 k)
                                        (C)  air broadening pressure halfwidth(cm-1 atm-1 at 296 K)
                                        (D)  energy of the lower level of the transition (cm-1)
                                        (G)  identification of the isotope
                                        (I)  identification code of the molecule

 --------------------------------
 | n2     (33)|isotopes  |    44|
 |number of lines      33|    33|
 --------------------------------

 The file contains          33 lines in the spectral range nu1= 2400.000000 and nu2=35000.000000 cm-1

      ----------------------------------------------------
      |     A      |     B     |  C   |    D     | G | I |
      ----------------------------------------------------
        2403.565055  3.4860D-28 0.0490   143.2197  44  33       1
        2411.127354  1.6470D-28 0.0479   179.0154  44  33       2
        2418.652002  3.0240D-28 0.0467   218.7839  44  33       3
        2426.138720  1.3510D-28 0.0447   262.5240  44  33       4
        2433.587230  2.3540D-28 0.0428   310.2341  44  33       5
        2440.997254  1.0000D-28 0.0413   361.9126  44  33       6
        2448.368511  1.6580D-28 0.0399   417.5576  44  33       7
        2455.700722  6.7190D-29 0.0375   477.1673  44  33       8
        2462.993609  1.0640D-28 0.0352   540.7395  44  33       9
        2470.246892  4.1150D-29 0.0331   608.2722  44  33      10
        2477.460290  6.2280D-29 0.0310   679.7628  44  33      11
        2484.633526  2.3050D-29 0.0293   755.2090  44  33      12
        2491.766317  3.3400D-29 0.0273   834.6081  44  33      13
        2498.858386  1.1840D-29 0.0273   917.9574  44  33      14
        2505.909451  1.6440D-29 0.0273  1005.2540  44  33      15
        2512.919233  5.5860D-30 0.0273  1096.4948  44  33      16
        2519.887451  7.4360D-30 0.0273  1191.6766  44  33      17
        2526.813825  2.4240D-30 0.0273  1290.7963  44  33      18
        2533.698074  3.0950D-30 0.0273  1393.8503  44  33      19
        2540.539920  9.6840D-31 0.0273  1500.8350  44  33      20
        2547.339080  1.1870D-30 0.0273  1611.7467  44  33      21
        2554.095274  3.5650D-31 0.0273  1726.5815  44  33      22
        2560.808223  4.1980D-31 0.0273  1845.3358  44  33      23
        2567.477644  1.2110D-31 0.0273  1968.0049  44  33      24
        2574.103259  1.3690D-31 0.0273  2094.5850  44  33      25
        2580.684785  3.7960D-32 0.0273  2225.0713  44  33      26
        2587.221943  4.1260D-32 0.0273  2359.4595  44  33      27
        2593.714452  1.0990D-32 0.0273  2497.7451  44  33      28
        2600.162031  1.1480D-32 0.0273  2639.9229  44  33      29
        2606.564399  2.9390D-33 0.0273  2785.9880  44  33      30
        2612.921276  2.9510D-33 0.0273  2935.9358  44  33      31
        2619.232382  7.2670D-34 0.0273  3089.7605  44  33      32
        2625.497436  7.0180D-34 0.0273  3247.4570  44  33      33
