GEISA09 Lines : Database Extract Results

Extraction in progress...

nbr records in this bin file :   3807997
 *****************                                                                                                  *****************
 * geisa   geisa *                                extraction of geisa2009  contents                                 * geisa   geisa *
 *      ext      *                                                                                                  *      ext      *
 * geisa   geisa *                spectral  interval (cm-1)  nu1= 2400.000000   nu2= 35000.000000                   * geisa   geisa *
 *****************                                                                                                  *****************
                                          extraction of the following molecules and isotopes

  1 Molecule(s) affect(s) :  o2

  3 Isotope(s)  affect(s) :   66,  67,  68

                                        (A)  wavenumber (cm-1)
                                        (B)  intensity (cm-1/molec.cm-2 at 296 k)
                                        (C)  air broadening pressure halfwidth(cm-1 atm-1 at 296 K)
                                        (D)  energy of the lower level of the transition (cm-1)
                                        (G)  identification of the isotope
                                        (I)  identification code of the molecule

      ----------------------------------------------------
      |     A      |     B     |  C   |    D     | G | I |
      ----------------------------------------------------
        6256.380089  1.3270D-30 0.0477  1814.1963  66   7       1
        6267.917108  1.4550D-30 0.0492  1743.1576  66   7       2
        6270.723420  1.2220D-30 0.0440  2097.0913  66   7       3
        6272.569444  1.3690D-30 0.0440  2095.2454  66   7       4
        6276.666347  1.7810D-30 0.0454  1992.1189  66   7       5
        6278.531106  2.0210D-30 0.0454  1990.2542  66   7       6
        6279.432710  1.3960D-30 0.0505  1683.4608  66   7       7
        6282.581519  2.4090D-30 0.0468  1898.4502  66   7       8
        6284.465570  2.7770D-30 0.0468  1896.5662  66   7       9
        6288.468792  3.0030D-30 0.0477  1816.1005  66   7      10
        6290.372955  3.5330D-30 0.0477  1814.1963  66   7      11
        6294.327921  3.4110D-30 0.0492  1745.0833  66   7      12
        6296.253478  4.1290D-30 0.0492  1743.1576  66   7      13
        6300.158555  3.4600D-30 0.0505  1685.4100  66   7      14
        6302.107685  4.3640D-30 0.0505  1683.4608  66   7      15
        6305.960244  3.0090D-30 0.0519  1637.0905  66   7      16
        6307.937130  4.0480D-30 0.0519  1635.1136  66   7      17
        6311.732435  2.0130D-30 0.0542  1600.1329  66   7      18
        6313.746857  3.0470D-30 0.0542  1598.1184  66   7      19
        6319.560103  1.2760D-30 0.0568  1572.4573  66   7      20
        6324.113044  1.8150D-30 0.0420  2213.3501  66   7      21
        6324.461344  2.8940D-30 0.0435  2097.0913  66   7      22
        6324.772622  4.3200D-30 0.0447  1992.1189  66   7      23
        6325.047820  6.0220D-30 0.0463  1898.4502  66   7      24
        6325.287774  7.8050D-30 0.0474  1816.1005  66   7      25
        6325.493218  9.3490D-30 0.0487  1745.0833  66   7      26
        6325.664781  1.0250D-29 0.0500  1685.4100  66   7      27
        6325.802991  1.0090D-29 0.0514  1637.0905  66   7      28
        6325.908274  8.5710D-30 0.0530  1600.1329  66   7      29
        6325.980956  5.5150D-30 0.0558  1574.5428  66   7      30
